INFO 2024-05-01 22:36:55,696 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:57,087 basehttp 16676 18008 "GET /admin/myapp/client/5/change/ HTTP/1.1" 200 12436
INFO 2024-05-01 22:36:57,106 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:37:09,466 basehttp 16676 18008 "GET /admin/myapp/client/ HTTP/1.1" 200 17338
INFO 2024-05-01 22:37:09,486 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:38:25,581 basehttp 16676 18008 "GET /admin/myapp/ HTTP/1.1" 200 6274
INFO 2024-05-01 22:38:27,668 basehttp 16676 18008 "GET /admin/myapp/client/add/ HTTP/1.1" 200 11954
INFO 2024-05-01 22:38:27,687 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:39:19,128 views 16676 18008 Index page accessed
INFO 2024-05-01 22:39:19,128 basehttp 16676 18008 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:39:21,644 basehttp 16676 18008 "GET /admin/myapp/client/add/ HTTP/1.1" 200 11954
INFO 2024-05-01 22:39:26,701 basehttp 16676 18008 "GET /admin/ HTTP/1.1" 200 7499
INFO 2024-05-01 22:51:35,948 autoreload 3524 19540 Watching for file changes with StatReloader
INFO 2024-05-01 22:51:37,453 views 3524 23824 Index page accessed
INFO 2024-05-01 22:51:37,457 basehttp 3524 23824 "GET / HTTP/1.1" 200 542
